"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 08 21:06:52 UTC 2025","Sun Jun 08 21:06:52 UTC 2025","59","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryContainsExpectedStatuses","Verify inventory contains expected pet statuses","Test verifies inventory contains all expected pet statuses"
"passed","Sun Jun 08 21:06:52 UTC 2025","Sun Jun 08 21:06:52 UTC 2025","218","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryDataConsistency","Verify inventory data consistency between multiple calls","Test verifies inventory data remains consistent across multiple requests"
"passed","Sun Jun 08 21:06:55 UTC 2025","Sun Jun 08 21:06:55 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"failed","Sun Jun 08 21:06:52 UTC 2025","Sun Jun 08 21:06:52 UTC 2025","169","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testCompleteOrderLifecycle","Verify complete order lifecycle: create, retrieve, update status, delete","Validates the complete lifecycle of an order from creation to deletion, ensuring data integrity at each step"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","53","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetNonExistentOrderErrorResponse","Verify GET /store/order/{orderId} for non-existent order returns proper error","Test verifies proper error response structure for non-existent orders"
"passed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:53 UTC 2025","50","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testLargeOrderQuantities","Verify API handles large order quantities gracefully",""
"failed","Sun Jun 08 21:06:53 UTC 2025","Sun Jun 08 21:06:54 UTC 2025","905","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderDataConsistency","Verify order data remains consistent after multiple operations",""
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","47","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:06:54 UTC 2025","Sun Jun 08 21:06:54 UTC 2025","48","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testOrderValidationBehaviorDocumentation","Verify API validation behavior and document current acceptance criteria","Test documents what the API currently accepts vs rejects to identify validation gaps"
"failed","Sun Jun 08 21:06:56 UTC 2025","Sun Jun 08 21:06:56 UTC 2025","43","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
