"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 08 21:56:13 UTC 2025","Sun Jun 08 21:56:13 UTC 2025","108","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:56:06 UTC 2025","Sun Jun 08 21:56:06 UTC 2025","118","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryContainsExpectedStatuses","Verify inventory contains expected pet statuses","Test verifies inventory contains all expected pet statuses"
"passed","Sun Jun 08 21:56:12 UTC 2025","Sun Jun 08 21:56:12 UTC 2025","104","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderSuccess","Verify POST /store/order creates orders successfully with various valid data","Test verifies that orders can be placed successfully with different valid data combinations"
"passed","Sun Jun 08 21:56:12 UTC 2025","Sun Jun 08 21:56:12 UTC 2025","104","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderPerformance","Verify order response time is acceptable","Performance test to ensure order creation response time is within acceptable limits"
"passed","Sun Jun 08 21:56:06 UTC 2025","Sun Jun 08 21:56:07 UTC 2025","494","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testCompleteOrderLifecycle","Verify complete order lifecycle: create, retrieve, update status, delete","Validates the complete lifecycle of an order from creation to deletion, ensuring data integrity at each step"
"passed","Sun Jun 08 21:56:07 UTC 2025","Sun Jun 08 21:56:07 UTC 2025","113","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testDeleteOrderWithInvalidIds","Verify DELETE /store/order/{orderId} handles invalid order IDs","Test verifies proper error handling when deleting orders with invalid IDs"
"passed","Sun Jun 08 21:56:07 UTC 2025","Sun Jun 08 21:56:07 UTC 2025","111","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testGetNonExistentOrderErrorResponse","Verify GET /store/order/{orderId} for non-existent order returns proper error","Test verifies proper error response structure for non-existent orders"
"passed","Sun Jun 08 21:56:15 UTC 2025","Sun Jun 08 21:56:18 UTC 2025","3329","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testRateLimiting","Verify API respects rate limiting",""
"failed","Sun Jun 08 21:56:13 UTC 2025","Sun Jun 08 21:56:14 UTC 2025","102","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreOrderTest","com.petstore.tests.store.StoreOrderTest","testPlaceOrderWithInvalidData","Verify POST /store/order rejects invalid order data with appropriate error codes","Validates that API properly rejects invalid order data and returns appropriate HTTP error codes (4xx)"
"passed","Sun Jun 08 21:56:06 UTC 2025","Sun Jun 08 21:56:06 UTC 2025","117","Petstore /store API Test Suite","Regression Tests","com.petstore.tests.store.StoreInventoryTest","com.petstore.tests.store.StoreInventoryTest","testInventoryResponseHeaders","Verify inventory response headers","Test verifies all required headers are present in inventory response"
